TransactionID;CustomerID;Products;Timestamp
31;C393;Egg, Chocolate, Cucumber, Detergent;15/04/2025
32;C588;Egg, Honey, Dish Sponge, Cracker, Chickpeas, Minced Meat, Rice, Potato;20/01/2025
33;C821;Chips, Flatbread with Meat, Ice Cream, Egg, Chicken;12/01/2025
34;C317;Fish, Chickpeas, Potato, Sausage, Flatbread with Meat, Banana, Shampoo, Beans, Cookie, Cheese;25/01/2025
35;C479;Chickpeas, Rice, Dumpling, Beans, Yogurt, Cookie;03/01/2025
36;C296;Tomato, Water, Pizza, Honey, Shampoo, Lentil, Detergent, Chips, Cracker, Butter;21/03/2025
37;C153;Milk, Dish Sponge, Strawberry, Ice Cream, Chickpeas, Shampoo, Soda, Cola, Cheese, Egg;20/01/2025
38;C94;Pizza, Water, Yogurt, Potato, Cracker, Rice;15/04/2025
39;C715;Chicken, Dumpling, Tomato, Lentil, Cucumber, Cereal, Cookie, Orange;30/01/2025
40;C365;Potato, Cookie, Orange, Egg, Beans, Ice Cream;21/04/2025
41;C959;Beans, Cereal, Butter, Honey;24/02/2025
42;C477;Dumpling, Chocolate, Onion, Soap;21/03/2025
43;C996;Sausage, Beans, Ice Cream, Chocolate, Shampoo, Juice, Dish Sponge;21/04/2025
44;C892;Cookie, Sausage, Shampoo, Egg, Rice, Water, Dumpling, Onion;11/03/2025
45;C285;Yogurt, Cereal, Sausage, Cheese, Bread, Juice, Flatbread with Meat, Strawberry, Ice Cream;19/02/2025
46;C562;Chickpeas, Juice, Orange;01/02/2025
47;C377;Cracker, Tomato, Beans, Orange, Ice Cream, Lentil;02/02/2025
48;C106;Chips, Potato, Honey, Chocolate;04/02/2025
49;C291;Banana, Lentil, Apple, Cola, Pizza, Shampoo, Juice, Dish Sponge, Sausage;24/02/2025
50;C309;Dumpling, Onion, Cereal, Butter, Detergent, Banana, Water, Chocolate, Cucumber, Milk;01/03/2025
51;C64;Egg, Strawberry, Cracker, Dish Sponge, Potato;08/03/2025
52;C956;Sausage, Strawberry, Yogurt, Chicken;12/02/2025
53;C65;Ice Cream, Tomato, Rice;18/03/2025
54;C891;Bread, Onion, Minced Meat;06/01/2025
55;C618;Bread, Chocolate, Sausage, Fish, Cookie, Dumpling;05/01/2025
56;C713;Cheese, Chicken, Dumpling, Flatbread with Meat, Cereal, Milk, Minced Meat, Tomato;10/01/2025
57;C337;Flatbread with Meat, Minced Meat, Yogurt, Apple, Orange, Chicken, Egg;02/03/2025
58;C402;Potato, Cucumber, Soda, Juice, Beans, Cereal, Cheese, Bread, Lentil, Chicken;03/04/2025
59;C165;Honey, Potato, Pizza, Beans, Cola, Fish, Lentil;19/03/2025
60;C496;Banana, Dumpling, Cheese, Milk, Apple, Beans, Cereal;10/02/2025
61;C369;Detergent, Chips, Strawberry, Chickpeas, Bread, Rice, Milk, Onion, Yogurt, Cola;12/02/2025
62;C545;Strawberry, Cola, Cereal, Cracker, Rice, Lentil, Beans, Ice Cream, Dumpling, Yogurt;06/02/2025
63;C83;Soda, Strawberry, Minced Meat;07/03/2025
64;C281;Cookie, Potato, Cheese, Beans, Chocolate, Shampoo, Egg;04/01/2025
65;C142;Potato, Butter, Ice Cream;24/03/2025
66;C887;Detergent, Apple, Tomato, Water, Strawberry, Rice;21/02/2025
67;C887;Water, Soap, Dumpling, Chickpeas, Chocolate, Cucumber, Minced Meat, Beans, Strawberry, Pizza;19/01/2025
68;C381;Bread, Dumpling, Strawberry;29/04/2025
69;C521;Tomato, Orange, Chips, Water, Beans, Dumpling, Cookie, Chocolate;12/01/2025
70;C22;Minced Meat, Lentil, Cracker, Butter, Rice, Sausage, Yogurt, Cookie, Tomato;30/04/2025
71;C453;Cola, Banana, Chicken, Cereal, Soda, Beans, Onion;20/03/2025
72;C464;Chips, Soda, Chickpeas, Soap, Honey, Chocolate;18/01/2025
73;C329;Pizza, Yogurt, Egg, Dish Sponge, Chickpeas, Orange, Water, Cracker, Cola;09/01/2025
74;C445;Bread, Soda, Honey, Chocolate, Egg, Apple, Lentil, Pizza, Orange, Rice;30/03/2025
75;C747;Dish Sponge, Lentil, Apple, Cheese;12/04/2025
76;C455;Minced Meat, Cereal, Tomato, Chocolate, Egg, Banana, Onion, Flatbread with Meat, Juice, Soap;06/03/2025
77;C96;Strawberry, Onion, Soda, Chicken, Yogurt;10/01/2025
78;C688;Fish, Honey, Egg;27/04/2025
79;C887;Water, Butter, Honey, Cucumber, Egg, Soda, Milk, Apple, Strawberry, Cookie, Cereal;22/02/2025
80;C402;Ice Cream, Sausage, Cucumber, Milk, Soap, Apple, Strawberry, Orange, Water;15/01/2025
81;C413;Pizza, Water, Chocolate, Detergent, Soap;15/03/2025
82;C283;Pizza, Bread, Rice, Ice Cream, Dumpling, Sausage;04/02/2025
83;C485;Apple, Strawberry, Yogurt, Cucumber, Rice;04/03/2025
84;C276;Cereal, Rice, Yogurt;06/04/2025
85;C571;Ice Cream, Egg, Chips, Juice, Strawberry, Onion, Chickpeas, Apple;06/02/2025
86;C174;Cucumber, Ice Cream, Sausage;01/03/2025
87;C250;Cereal, Ice Cream, Shampoo, Flatbread with Meat, Butter, Banana, Strawberry, Egg;12/04/2025
88;C162;Fish, Soap, Detergent, Lentil, Yogurt, Sausage, Tomato, Cookie, Cracker, Apple;31/03/2025
89;C370;Cheese, Ice Cream, Bread, Apple, Orange, Shampoo, Lentil, Honey;25/01/2025
90;C134;Yogurt, Pizza, Cheese, Cola, Dumpling, Minced Meat, Chips;14/03/2025
91;C147;Dumpling, Cracker, Cookie, Strawberry, Rice;22/01/2025
92;C779;Orange, Minced Meat, Rice, Potato;04/04/2025
93;C387;Soap, Chips, Juice, Rice, Cola, Ice Cream, Chocolate, Minced Meat, Orange, Cucumber;06/04/2025
94;C989;Lentil, Butter, Potato, Soda, Chicken;09/04/2025
95;C410;Cracker, Chickpeas, Onion, Milk, Shampoo, Egg;20/04/2025
96;C358;Bread, Milk, Dish Sponge, Dumpling, Cola, Soda, Cookie, Cereal;07/04/2025
97;C157;Cookie, Cheese, Apple, Detergent, Strawberry, Soda, Banana, Tomato, Chickpeas, Potato;03/02/2025
98;C999;Honey, Apple, Potato, Cola, Soda, Dumpling, Ice Cream, Chips, Dish Sponge, Flatbread with Meat;31/03/2025
99;C302;Chocolate, Sausage, Pizza, Shampoo, Dumpling;06/04/2025
100;C769;Fish, Detergent, Honey, Water, Flatbread with Meat, Cucumber;01/03/2025
101;C93;Orange, Chips, Cheese, Cracker;04/02/2025
102;C373;Potato, Tomato, Flatbread with Meat, Dumpling, Honey, Soap, Detergent, Dish Sponge;02/01/2025
103;C680;Chips, Shampoo, Soda;18/02/2025
104;C853;Cracker, Banana, Soap, Cereal, Onion, Milk, Detergent, Beans;09/01/2025
105;C892;Cheese, Soap, Milk;01/02/2025
106;C258;Cereal, Yogurt, Beans, Fish, Banana, Cola, Minced Meat, Strawberry, Sausage, Egg;25/03/2025
107;C525;Apple, Soda, Minced Meat, Dish Sponge, Rice, Sausage;26/01/2025
108;C897;Chips, Orange, Yogurt, Rice, Shampoo, Soap;20/01/2025
109;C677;Cracker, Soda, Flatbread with Meat, Onion, Tomato, Minced Meat, Bread, Apple, Cheese, Yogurt;27/02/2025
110;C573;Strawberry, Juice, Cheese, Chips, Fish, Cookie;23/04/2025
111;C750;Cheese, Minced Meat, Water, Dish Sponge, Dumpling, Soda, Yogurt, Honey, Fish;03/02/2025
112;C319;Cola, Fish, Bread, Chocolate, Juice, Soap;22/03/2025
113;C45;Tomato, Apple, Chickpeas;04/02/2025
114;C766;Cracker, Dumpling, Soda, Milk, Egg, Chocolate, Lentil;05/01/2025
115;C377;Apple, Honey, Chickpeas, Soap;06/03/2025
116;C762;Orange, Yogurt, Soda, Cracker, Honey, Chips, Soap, Egg;05/02/2025
117;C954;Butter, Lentil, Tomato, Ice Cream, Onion, Pizza, Sausage, Cracker, Cola;07/01/2025
118;C418;Pizza, Butter, Cereal, Soda, Lentil;06/01/2025
119;C962;Potato, Flatbread with Meat, Dumpling, Chickpeas, Strawberry, Onion, Pizza, Fish;09/04/2025
120;C167;Milk, Ice Cream, Yogurt, Juice, Apple, Cola, Cereal;13/03/2025
121;C656;Sausage, Cookie, Cereal;18/03/2025
122;C310;Orange, Rice, Egg, Onion, Soda;26/04/2025
123;C760;Pizza, Dumpling, Detergent;26/03/2025
124;C776;Potato, Dumpling, Yogurt, Sausage, Banana, Chocolate;11/03/2025
125;C120;Water, Juice, Cucumber, Tomato, Chicken, Onion, Pizza, Rice, Detergent, Butter;18/02/2025
126;C654;Yogurt, Onion, Chickpeas, Chips, Strawberry, Juice, Detergent, Butter, Dumpling, Cola;18/03/2025
127;C244;Water, Apple, Butter, Chickpeas, Tomato, Detergent, Pizza;12/04/2025
128;C230;Milk, Shampoo, Minced Meat, Beans, Pizza, Chicken, Tomato, Apple, Dish Sponge;14/03/2025
129;C575;Sausage, Banana, Soap, Cola;24/01/2025
130;C658;Sausage, Strawberry, Chocolate, Dumpling, Chicken, Chickpeas, Tomato, Juice;08/04/2025
131;C18;Chocolate, Milk, Juice;28/04/2025
132;C425;Milk, Potato, Chips, Dumpling;02/02/2025
133;C759;Cheese, Honey, Potato, Sausage;03/03/2025
134;C432;Yogurt, Strawberry, Pizza, Rice, Egg, Juice, Lentil, Onion, Potato;20/01/2025
135;C79;Butter, Banana, Shampoo, Chips, Cucumber;15/02/2025
136;C340;Tomato, Ice Cream, Cereal, Chips, Chicken, Beans;31/03/2025
137;C125;Cereal, Chickpeas, Soap, Pizza, Chicken, Water, Egg, Honey;24/04/2025
138;C488;Tomato, Cola, Beans, Fish, Minced Meat;11/04/2025
139;C462;Orange, Cucumber, Honey;25/04/2025
140;C812;Apple, Cheese, Milk, Cookie, Lentil, Cracker, Detergent, Orange, Minced Meat, Cereal;08/04/2025
141;C25;Bread, Rice, Water, Chickpeas, Flatbread with Meat, Soap, Pizza, Potato, Detergent, Dumpling;05/04/2025
142;C363;Chips, Soda, Rice, Dish Sponge, Bread, Shampoo, Potato, Chocolate;05/02/2025
143;C633;Honey, Onion, Potato, Soda, Cucumber, Tomato, Chips, Cola;27/02/2025
144;C770;Fish, Juice, Lentil;28/03/2025
145;C584;Apple, Sausage, Pizza, Chips, Cookie, Bread, Juice;08/02/2025
146;C955;Chips, Apple, Potato, Yogurt, Minced Meat, Honey;10/01/2025
147;C948;Flatbread with Meat, Honey, Chickpeas, Yogurt, Dumpling, Cheese, Cracker, Detergent, Ice Cream, Potato;06/02/2025
148;C569;Chickpeas, Chocolate, Egg;06/03/2025
149;C366;Chocolate, Butter, Cheese, Lentil, Honey, Rice, Bread;16/02/2025
150;C812;Dish Sponge, Milk, Onion, Minced Meat, Beans, Sausage, Soda, Honey, Cereal;23/03/2025
151;C225;Shampoo, Beans, Strawberry, Chicken, Orange, Dumpling, Pizza, Detergent, Minced Meat, Chips;13/02/2025
152;C118;Dumpling, Rice, Strawberry, Banana, Detergent, Minced Meat;02/03/2025
153;C669;Yogurt, Honey, Beans, Chocolate, Detergent, Fish, Cola, Dumpling;12/03/2025
154;C630;Strawberry, Detergent, Chicken, Egg;15/03/2025
155;C238;Beans, Bread, Chocolate, Orange, Soda, Egg, Honey, Flatbread with Meat, Cereal;21/04/2025
156;C726;Dish Sponge, Dumpling, Cracker, Cheese;04/02/2025
157;C847;Soda, Beans, Strawberry, Cracker, Cucumber, Milk, Cereal, Chips;05/04/2025
158;C452;Yogurt, Lentil, Flatbread with Meat;26/01/2025
159;C530;Milk, Chocolate, Cola, Sausage, Shampoo;04/03/2025
160;C457;Tomato, Rice, Banana, Water, Soda, Cookie, Chips, Cola, Chicken;26/02/2025
161;C994;Chicken, Cola, Cucumber, Chocolate, Lentil;12/01/2025
162;C297;Honey, Cereal, Yogurt, Dish Sponge, Rice;22/01/2025
163;C629;Onion, Chickpeas, Bread, Egg, Cucumber, Minced Meat, Potato;19/03/2025
164;C336;Bread, Chocolate, Fish, Cracker, Cookie;27/02/2025
165;C115;Cucumber, Orange, Apple, Minced Meat, Lentil, Soda, Chips;06/03/2025
166;C608;Bread, Cracker, Minced Meat, Apple;07/04/2025
167;C830;Butter, Water, Egg, Detergent, Banana, Strawberry, Soap, Rice;05/02/2025
168;C968;Strawberry, Bread, Shampoo, Soap, Beans, Sausage, Lentil, Soda, Fish, Chocolate;24/03/2025
169;C589;Shampoo, Lentil, Soap, Cookie, Banana;26/04/2025
170;C842;Lentil, Tomato, Cereal, Detergent, Strawberry, Cucumber;08/03/2025
171;C315;Shampoo, Detergent, Cereal, Beans, Chickpeas;27/03/2025
172;C927;Butter, Chips, Flatbread with Meat, Ice Cream, Fish, Onion, Pizza, Milk;27/04/2025
173;C804;Butter, Detergent, Bread, Dish Sponge, Chickpeas, Banana, Juice, Cheese, Shampoo, Tomato;01/01/2025
174;C834;Cola, Juice, Fish, Cheese, Cookie, Flatbread with Meat, Soda;17/04/2025
175;C746;Lentil, Chips, Butter, Ice Cream, Cheese, Cucumber, Cola, Dumpling;03/01/2025
176;C332;Orange, Juice, Soda, Water, Apple;20/03/2025
177;C808;Ice Cream, Honey, Rice, Chicken, Chocolate, Strawberry, Shampoo, Detergent, Minced Meat;02/02/2025
178;C780;Tomato, Cheese, Cucumber;27/03/2025
179;C19;Chickpeas, Tomato, Honey, Chocolate, Yogurt, Chips, Beans;01/03/2025
180;C799;Lentil, Chickpeas, Cracker, Soap, Juice, Chocolate, Tomato, Pizza, Cola, Onion;13/04/2025
181;C311;Honey, Strawberry, Yogurt;29/03/2025
182;C624;Bread, Ice Cream, Apple, Dumpling, Milk, Dish Sponge, Shampoo, Cucumber, Honey, Beans;31/03/2025
183;C483;Detergent, Rice, Minced Meat;29/04/2025
184;C597;Yogurt, Bread, Tomato, Cracker, Pizza, Cucumber, Soda;07/01/2025
185;C776;Dish Sponge, Water, Ice Cream, Orange, Honey, Yogurt, Minced Meat;13/01/2025
186;C131;Minced Meat, Fish, Water, Onion, Yogurt, Apple;27/03/2025
187;C17;Cola, Dish Sponge, Pizza, Potato, Cucumber, Beans, Bread, Lentil;27/04/2025
188;C571;Cucumber, Milk, Dish Sponge, Cola, Beans, Cereal;28/04/2025
189;C575;Orange, Yogurt, Shampoo, Lentil, Bread, Cracker, Cheese, Chickpeas, Juice, Chocolate;23/01/2025
190;C868;Cereal, Milk, Pizza, Rice, Soap, Banana, Potato, Cucumber, Beans;07/03/2025
191;C33;Sausage, Fish, Lentil;25/03/2025
192;C289;Water, Tomato, Cookie, Cola, Chickpeas;28/02/2025
193;C10;Water, Banana, Soap, Flatbread with Meat, Fish, Lentil, Tomato, Egg;09/02/2025
194;C601;Dish Sponge, Shampoo, Cookie, Honey, Chips, Cola;01/01/2025
195;C179;Bread, Water, Beans, Dumpling;16/03/2025
196;C492;Rice, Cheese, Water, Yogurt, Fish, Minced Meat, Strawberry, Onion;14/01/2025
197;C746;Potato, Cola, Yogurt, Detergent, Rice, Cheese, Shampoo, Strawberry, Milk, Dish Sponge;08/02/2025
198;C450;Soap, Juice, Flatbread with Meat, Chips;17/01/2025
199;C770;Strawberry, Apple, Chickpeas, Soap, Flatbread with Meat, Potato, Butter, Chicken, Juice, Sausage;19/02/2025
200;C293;Chickpeas, Cookie, Potato, Fish, Sausage, Lentil, Minced Meat, Cheese;02/02/2025
201;C305;Cola, Shampoo, Banana;09/04/2025
202;C556;Bread, Soda, Cucumber, Cola, Honey, Sausage, Potato;24/01/2025
203;C250;Tomato, Ice Cream, Apple;18/01/2025
204;C372;Water, Potato, Chickpeas;04/01/2025
205;C710;Banana, Chips, Dumpling, Beans, Cookie, Egg, Detergent, Strawberry, Honey, Cola;10/02/2025
206;C465;Cookie, Butter, Minced Meat, Dish Sponge, Cracker, Detergent, Beans, Soda, Chickpeas, Water;04/03/2025
207;C920;Shampoo, Rice, Cheese, Fish, Juice, Water, Ice Cream, Honey;03/01/2025
208;C575;Chips, Detergent, Ice Cream, Tomato, Cracker;30/03/2025
209;C329;Orange, Ice Cream, Flatbread with Meat, Chips, Cracker;17/03/2025
210;C624;Chocolate, Soda, Onion, Juice, Cookie, Lentil, Cereal;11/01/2025
211;C475;Bread, Water, Rice, Cereal, Lentil, Chips, Yogurt, Minced Meat, Soap;21/01/2025
212;C866;Bread, Cookie, Flatbread with Meat, Dish Sponge, Cola;04/02/2025
213;C186;Egg, Milk, Chips, Soda, Apple, Cheese, Cereal;27/01/2025
214;C214;Cereal, Dumpling, Soap, Minced Meat, Chocolate, Butter, Honey, Onion, Chicken, Chickpeas;22/01/2025
215;C169;Soda, Chicken, Rice, Honey, Butter, Juice, Cola, Dish Sponge, Egg;28/01/2025
216;C755;Cheese, Ice Cream, Cereal, Cookie, Cracker;14/03/2025
217;C476;Butter, Egg, Chips, Juice;17/02/2025
218;C655;Milk, Cheese, Orange, Yogurt;03/03/2025
219;C112;Honey, Detergent, Beans, Milk, Cheese, Dish Sponge, Rice, Fish, Butter, Juice, Cereal;07/02/2025
220;C786;Detergent, Chicken, Banana;03/03/2025
221;C828;Egg, Chocolate, Cola, Strawberry, Dumpling;30/04/2025
222;C353;Strawberry, Milk, Dumpling, Pizza, Rice, Soda, Orange, Chicken, Juice;25/02/2025
223;C914;Juice, Beans, Yogurt;18/01/2025
224;C792;Dish Sponge, Cola, Ice Cream, Dumpling, Shampoo, Fish;12/01/2025
225;C507;Flatbread with Meat, Cookie, Cola, Water, Chickpeas, Juice;27/04/2025
226;C816;Chickpeas, Tomato, Rice, Bread, Cola, Strawberry;01/02/2025
227;C185;Cookie, Apple, Chips, Soda, Soap, Juice, Beans, Pizza, Onion;06/04/2025
228;C935;Bread, Water, Chocolate, Dish Sponge, Milk, Honey, Cheese, Potato, Cereal;08/03/2025
229;C758;Egg, Apple, Chickpeas, Flatbread with Meat, Cookie, Butter, Yogurt, Water, Fish;09/04/2025
230;C689;Water, Flatbread with Meat, Soap, Apple, Strawberry, Dish Sponge, Milk, Butter, Detergent, Cereal;26/03/2025
231;C9;Minced Meat, Potato, Cracker;10/02/2025
232;C723;Water, Onion, Cheese;01/03/2025
233;C380;Onion, Apple, Cola, Strawberry, Dumpling, Cucumber;19/03/2025
234;C310;Bread, Strawberry, Butter, Detergent;29/01/2025
235;C247;Shampoo, Juice, Ice Cream, Sausage, Apple, Beans, Cracker;01/01/2025
236;C876;Shampoo, Cola, Chocolate, Juice, Minced Meat, Chips, Strawberry, Cereal;18/02/2025
237;C99;Lentil, Cola, Ice Cream, Flatbread with Meat, Cucumber, Shampoo, Beans;18/01/2025
238;C979;Beans, Cereal, Chocolate, Cola, Apple, Chickpeas, Yogurt, Juice, Lentil;08/03/2025
239;C283;Cracker, Potato, Dumpling, Ice Cream, Strawberry;24/02/2025
240;C458;Honey, Chicken, Strawberry, Flatbread with Meat, Ice Cream, Detergent, Lentil, Orange, Shampoo;17/03/2025
241;C463;Lentil, Onion, Cheese;03/02/2025
242;C810;Flatbread with Meat, Cereal, Dish Sponge, Water, Butter, Ice Cream, Orange;03/02/2025
243;C806;Juice, Flatbread with Meat, Cracker, Lentil, Minced Meat, Honey;14/02/2025
244;C412;Egg, Cracker, Potato;16/04/2025
245;C964;Water, Shampoo, Cola, Tomato, Rice, Lentil, Banana;17/03/2025
246;C476;Butter, Potato, Fish, Juice, Chips;01/01/2025
247;C543;Cucumber, Potato, Water, Shampoo, Honey, Banana, Minced Meat, Chocolate, Dumpling;30/01/2025
248;C634;Yogurt, Chocolate, Soap, Onion, Dish Sponge, Rice, Juice, Chips;01/04/2025
249;C109;Honey, Chickpeas, Butter, Cola, Pizza, Chocolate, Lentil;03/01/2025
250;C322;Cola, Tomato, Cheese, Banana, Egg;18/03/2025
251;C226;Tomato, Juice, Minced Meat, Detergent, Soap, Chips, Onion, Orange, Fish;19/01/2025
252;C156;Butter, Chicken, Pizza, Tomato, Cola, Egg;31/01/2025
253;C7;Cookie, Onion, Water, Strawberry, Apple, Minced Meat;24/03/2025
254;C813;Juice, Tomato, Detergent, Chocolate, Soda, Cucumber, Minced Meat, Apple, Cola;17/02/2025
255;C889;Cola, Dish Sponge, Detergent, Beans, Dumpling;30/01/2025
256;C453;Onion, Sausage, Cookie, Juice, Chips;09/04/2025
257;C761;Chips, Minced Meat, Rice;03/04/2025
258;C294;Soap, Water, Cheese, Cola, Tomato, Minced Meat, Chicken, Cracker, Egg;21/02/2025
259;C727;Potato, Sausage, Minced Meat, Tomato;10/03/2025
260;C349;Sausage, Milk, Potato, Bread, Chocolate, Egg, Dish Sponge, Cereal;08/04/2025
261;C347;Honey, Strawberry, Soda, Apple, Egg, Cola, Juice, Cheese;26/01/2025
262;C494;Sausage, Soap, Strawberry, Cracker;18/02/2025
263;C115;Dumpling, Orange, Bread, Onion, Sausage, Potato, Cereal, Soda, Pizza, Milk;01/01/2025
264;C147;Juice, Bread, Soap, Milk, Dumpling, Honey;31/03/2025
265;C880;Cookie, Egg, Butter, Cola, Strawberry, Milk, Chicken, Juice, Yogurt, Chips;08/04/2025
266;C248;Pizza, Butter, Water, Chips, Soap, Minced Meat, Cheese, Cracker;26/02/2025
267;C828;Milk, Pizza, Chocolate, Strawberry, Honey, Cookie, Tomato, Apple, Cereal;29/03/2025
268;C208;Bread, Cheese, Cereal;20/04/2025
269;C540;Butter, Chocolate, Tomato;10/02/2025
270;C575;Cheese, Honey, Detergent, Banana;08/02/2025
271;C265;Soda, Sausage, Apple, Minced Meat, Yogurt, Lentil;12/04/2025
272;C513;Water, Cookie, Yogurt, Milk, Pizza, Chocolate;23/01/2025
273;C128;Milk, Cookie, Minced Meat, Cereal, Chicken, Shampoo, Yogurt, Tomato, Detergent;07/03/2025
274;C604;Butter, Cereal, Beans, Water, Strawberry, Apple, Honey;16/02/2025
275;C540;Cheese, Yogurt, Tomato, Strawberry;05/04/2025
276;C343;Cracker, Chocolate, Flatbread with Meat, Honey, Strawberry, Soap, Banana, Sausage;07/04/2025
277;C642;Apple, Ice Cream, Dish Sponge, Soda, Bread, Honey, Juice, Beans, Cola, Cracker;03/04/2025
278;C387;Juice, Soap, Cola;03/01/2025
279;C222;Onion, Egg, Cucumber;20/03/2025
280;C408;Pizza, Flatbread with Meat, Yogurt, Cola, Cereal, Detergent, Beans, Cucumber, Rice;13/04/2025
281;C741;Yogurt, Cola, Juice, Cracker, Cookie, Soda, Egg, Sausage;23/01/2025
282;C89;Cereal, Minced Meat, Butter, Tomato, Soda;19/04/2025
283;C731;Rice, Potato, Pizza, Banana, Chips;13/04/2025
284;C549;Rice, Cucumber, Soda, Strawberry, Detergent, Fish, Chickpeas, Yogurt, Sausage;25/02/2025
285;C410;Water, Tomato, Chicken, Soap;09/01/2025
286;C288;Potato, Ice Cream, Butter, Dumpling, Chips, Pizza, Beans;15/04/2025
287;C167;Apple, Detergent, Beans, Cookie, Tomato, Yogurt;15/02/2025
288;C614;Cereal, Apple, Onion, Chocolate, Cheese;13/03/2025
289;C42;Detergent, Cola, Chips;20/04/2025
290;C405;Fish, Detergent, Potato, Cola, Honey;08/02/2025
291;C257;Chips, Bread, Ice Cream, Lentil, Flatbread with Meat, Juice, Strawberry;17/02/2025
292;C864;Dish Sponge, Sausage, Detergent;26/03/2025
293;C1;Rice, Chips, Ice Cream, Beans, Water, Chicken, Pizza;04/02/2025
294;C736;Banana, Butter, Cereal;23/02/2025
295;C414;Rice, Honey, Tomato, Soap, Cheese, Water, Cucumber;17/03/2025
296;C978;Orange, Banana, Cereal, Soap, Detergent, Cookie, Dumpling, Apple;15/04/2025
297;C643;Shampoo, Potato, Orange;27/01/2025
298;C245;Bread, Dish Sponge, Potato, Sausage, Beans;18/03/2025
299;C619;Rice, Shampoo, Soda, Apple, Lentil;12/03/2025
300;C676;Egg, Cola, Soap, Juice, Dumpling, Rice, Ice Cream, Shampoo;23/04/2025
301;C701;Potato, Flatbread with Meat, Chickpeas, Yogurt, Milk, Cereal;06/01/2025
302;C683;Chicken, Dish Sponge, Water, Soda, Rice, Strawberry, Cracker, Pizza, Apple, Orange;08/02/2025
303;C748;Milk, Chicken, Cracker, Butter, Beans, Ice Cream, Potato, Cucumber;24/03/2025
304;C750;Milk, Cheese, Bread;09/04/2025
305;C747;Chips, Egg, Lentil, Honey, Dumpling, Cereal;28/04/2025
306;C169;Soap, Dumpling, Butter, Cucumber, Onion, Beans;17/04/2025
307;C423;Strawberry, Butter, Shampoo, Water, Sausage, Honey, Cookie;13/02/2025
308;C700;Orange, Soda, Yogurt, Rice, Shampoo, Flatbread with Meat;29/01/2025
309;C891;Egg, Apple, Juice, Lentil;30/01/2025
310;C592;Tomato, Ice Cream, Apple, Potato, Butter, Sausage, Cucumber, Onion, Chicken, Chips;12/04/2025
311;C15;Banana, Honey, Potato, Dumpling, Flatbread with Meat, Apple, Fish, Cookie;02/01/2025
312;C517;Strawberry, Apple, Cereal, Lentil, Soap, Chickpeas, Cucumber, Cookie;08/03/2025
313;C669;Egg, Pizza, Ice Cream, Orange, Rice, Sausage;09/04/2025
